date,marketCap,balanceSheetDate,shortTermDebt,longTermDebt,treasury_yield,bonds_index,equities_index
2021-11-26,231825776000,2021-10-20 17:49:33,7000000,23591000000,0.002,535.57,446.6913146972656
2021-11-29,233657712000,2021-10-20 17:49:33,7000000,23591000000,0.0021,534.0,452.1706848144531
2021-11-30,230165584000,2021-10-20 17:49:33,7000000,23591000000,0.0024,536.22,443.3725280761719
2021-12-01,228791632000,2021-10-20 17:49:33,7000000,23591000000,0.0025,536.92,438.4478454589844
2021-12-02,226172536000,2021-10-20 17:49:33,7000000,23591000000,0.0027,536.16,445.1632385253906
2021-12-03,223939864000,2021-10-20 17:49:33,7000000,23591000000,0.0026,538.81,441.289794921875
2021-12-06,219617639999,2021-10-20 17:49:33,7000000,23591000000,0.0028000000000000004,537.41,446.5161437988281
2021-12-07,224233260000,2021-10-20 17:49:33,7000000,23591000000,0.0031,537.38,455.752197265625
2021-12-08,227746856000,2021-10-20 17:49:33,7000000,23591000000,0.0029,534.75,456.95904541015625
2021-12-09,228476767999,2021-10-20 17:49:33,7000000,23591000000,0.0028000000000000004,535.34,453.87384033203125
2021-12-10,227195844000,2021-10-20 17:49:33,7000000,23591000000,0.0027,535.06,458.1463623046875
2021-12-13,227925756000,2021-10-20 17:49:33,7000000,23591000000,0.0027,537.52,454.08795166015625
2021-12-14,220190120000,2021-10-20 17:49:33,7000000,23591000000,0.0026,536.14,450.9637756347656
2021-12-15,225399688000,2021-10-20 17:49:33,7000000,23591000000,0.0029,534.44,458.0101318359375
2021-12-16,227911444000,2021-10-20 17:49:33,7000000,23591000000,0.0026,535.53,453.9711608886719
2021-12-17,224276196000,2021-10-20 17:49:33,7000000,23591000000,0.0027,536.53,449.1395568847656
2021-12-20,224905924000,2021-10-20 17:49:33,7000000,23591000000,0.0027,535.17,444.36370849609375
2021-12-21,224641152000,2021-10-20 17:49:33,7000000,23591000000,0.0029,534.63,452.25518798828125
2021-12-22,228763008000,2021-10-20 17:49:33,7000000,23591000000,0.0028000000000000004,535.79,456.77716064453125
2021-12-23,229557324000,2021-10-20 17:49:33,7000000,23591000000,0.0031,534.64,459.6192626953125
2021-12-27,234294596000,2021-10-20 17:49:33,7000000,23591000000,0.0033,535.53,466.1238098144531
2021-12-28,231453664000,2021-10-20 17:49:33,7000000,23591000000,0.0039000000000000003,535.69,465.7428894042969
