date,marketCap,balanceSheetDate,shortTermDebt,longTermDebt,treasury_yield,bonds_index,equities_index
2013-09-17,24136048080,2013-06-27 17:56:26,20083000,1505560000,0.0012,357.3,142.39251708984375
2013-09-18,26362139760,2013-06-27 17:56:26,20083000,1505560000,0.0011,359.82,144.04054260253906
2013-09-19,26005664268,2013-06-27 17:56:26,20083000,1505560000,0.001,359.47,143.7991943359375
2013-09-20,26226769320,2013-06-27 17:56:26,20083000,1505560000,0.0011,360.08,142.7938690185547
2013-09-23,25971069600,2013-06-27 17:56:26,20083000,1505560000,0.001,360.45,142.13307189941406
2013-09-24,25780548240,2013-06-27 17:56:26,20083000,1505560000,0.001,361.78,141.79849243164062
2013-09-25,26006165640,2013-06-27 17:56:26,20083000,1505560000,0.001,362.43,141.38865661621094
2013-09-26,26121481200,2013-06-27 17:56:26,20083000,1505560000,0.0009,361.73,141.93235778808594
2013-09-27,26086385160,2013-06-27 17:56:26,20083000,1505560000,0.001,361.91,141.27993774414062
2013-09-30,26041261680,2013-06-27 17:56:26,20083000,1505560000,0.001,361.68,140.52713012695312
2013-10-01,26286933960,2013-06-27 17:56:26,20083000,1505560000,0.001,361.24,141.63955688476562
2013-10-02,25830685440,2013-06-27 17:56:26,20083000,1505560000,0.0011,361.83,141.50576782226562
2013-10-03,25509807360,2013-06-27 17:56:26,20083000,1505560000,0.0011,362.25,140.20091247558594
2013-10-04,25855754040,2013-10-03 16:19:15,17462000,1502369000,0.0011,361.78,141.26319885253906
2013-10-07,25479725040,2013-10-03 16:19:15,17462000,1502369000,0.0012,362.24,140.04200744628906
2013-10-08,24858023760,2013-10-03 16:19:15,17462000,1502369000,0.0015,362.25,138.4110107421875
2013-10-09,24792845400,2013-10-03 16:19:15,17462000,1502369000,0.0015,361.93,138.51141357421875
2013-10-10,25652698380,2013-10-03 16:19:15,17462000,1502369000,0.0014000000000000002,361.83,141.4973907470703
2013-10-11,26166604680,2013-10-03 16:19:15,17462000,1502369000,0.0014000000000000002,362.22,142.4091033935547
2013-10-15,26036247960,2013-10-03 16:19:15,17462000,1502369000,0.0016,361.93,141.94070434570312
2013-10-16,26026220520,2013-10-03 16:19:15,17462000,1502369000,0.0015,363.23,143.92303466796875
2013-10-17,26103933180,2013-10-03 16:19:15,17462000,1502369000,0.0013,365.0,144.88491821289062
